,network_source,tweet,date,compound_score,pos_score,neu_score,neg_score
453,CNN,He's responsible for discovering nearly a quarter of the world's corals. Now this scientist says the struggling ree… https://t.co/bh8sp4qhfW,Thu Aug 30 05:46:00 +0000 2018,-0.128,0.109,0.758,0.133
454,CNN,"Nearly a quarter of 14-year-old girls in the UK have self-harmed, with many facing overwhelming pressures over look… https://t.co/0MBqkgU8VA",Thu Aug 30 05:31:06 +0000 2018,-0.3182,0.0,0.881,0.119
455,CNN,Researchers used a manned submersible to bring back the first images of a deep-sea coral reef off the coast of Sout… https://t.co/uKv3uu51Hs,Thu Aug 30 05:16:00 +0000 2018,0.0,0.0,1.0,0.0
456,CNN,"A Baltimore police detective whose department had initially said was fatally shot in a struggle with his killer, ac… https://t.co/PIajkD2FhQ",Thu Aug 30 05:01:04 +0000 2018,-0.8957,0.0,0.581,0.419
457,CNN,"More than 40,000 bees swarmed this Times Square hot dog stand looking for a new home to escape the sweltering heat… https://t.co/3IXl9JYEpp",Thu Aug 30 04:46:00 +0000 2018,0.1779,0.078,0.922,0.0
458,CNN,"1 in 50 people finds love on an airplane, a study claims https://t.co/BZ9AANBsnt https://t.co/Z0pfiaqY0Q",Thu Aug 30 04:31:05 +0000 2018,0.6369,0.276,0.724,0.0
459,CNN,Here's the moment a suspected meteor streaked across the Australian sky https://t.co/V0IRXbeZgB https://t.co/71FOHxtKDK,Thu Aug 30 04:16:00 +0000 2018,-0.2263,0.0,0.853,0.147
460,Fox News,OPINION: @judgenap: John McCain and me https://t.co/S5yQ4p8pXy,Thu Aug 30 10:35:00 +0000 2018,0.0,0.0,1.0,0.0
461,Fox News,Paying respects to John McCain at Arizona State Capitol @FoxFriendsFirst https://t.co/nAPLsXfkjS https://t.co/4u3XgsE6Fg,Thu Aug 30 10:30:00 +0000 2018,0.3182,0.173,0.827,0.0
462,Fox News,.@POTUS optimistic about trade agreement with Canada @FoxFriendsFirst https://t.co/oJcRAZvZWV https://t.co/Ug8snA4I5N,Thu Aug 30 10:20:00 +0000 2018,0.6705,0.407,0.593,0.0
463,Fox News,.@CarleyShimkus is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/ZUBjhMk2zH,Thu Aug 30 10:10:10 +0000 2018,0.0,0.0,1.0,0.0
464,Fox News,A 94-year-old @USNavy veteran heads to a California middle school every morning to greet students with uplifting wo… https://t.co/o2uaYiS6ny,Thu Aug 30 10:00:00 +0000 2018,0.3182,0.126,0.874,0.0
465,Fox News,'Top Gun' sequel release pushed back one year: report https://t.co/rhHwcoi8X8,Thu Aug 30 09:45:00 +0000 2018,-0.1531,0.148,0.656,0.197
466,Fox News,'Infuriated' New York Knicks fan sells his allegiance for thousands. https://t.co/p8C4vCSggS,Thu Aug 30 09:30:00 +0000 2018,0.3182,0.187,0.813,0.0
467,Fox News,Profane language at one beach city could lead to a $500 fine or even jail. https://t.co/rdpsNKpX1B,Thu Aug 30 09:15:00 +0000 2018,0.2023,0.114,0.886,0.0
468,Fox News,Google launches new search tool to help veterans get civilian jobs. https://t.co/p23bi9qj4O,Thu Aug 30 09:00:01 +0000 2018,0.4019,0.197,0.803,0.0
469,Fox News,California Senate votes to raise age for buying long guns to 21. https://t.co/a9og6vL34z,Thu Aug 30 08:50:00 +0000 2018,0.0,0.0,1.0,0.0
470,Fox News,"Ohio teen who went missing after witnessing dad's murder found alive, police say. https://t.co/jYnPfyIAc5",Thu Aug 30 08:35:00 +0000 2018,-0.6486,0.127,0.537,0.337
471,Fox News,Firefighters down under rescued a bunch of ducklings that got stuck in a drain. @dfes_wa said the panicked mother d… https://t.co/ijAFVJQlDh,Thu Aug 30 08:19:00 +0000 2018,-0.296,0.118,0.672,0.21
472,Fox News,California weight-loss study to pay participants to eat avocados. https://t.co/01ge6fJLYA,Thu Aug 30 08:10:00 +0000 2018,-0.1027,0.0,0.865,0.135
473,Fox News,John McCain's funeral events: Everything you need to know https://t.co/XYnlLN7MEl,Thu Aug 30 08:00:01 +0000 2018,-0.3612,0.0,0.783,0.217
474,Fox News,"North Carolina woman convicted of using acid, alligators in attempt to hide body of husband's ex-girlfriend. https://t.co/zzaCnaedzu",Thu Aug 30 07:45:00 +0000 2018,-0.1779,0.0,0.904,0.096
475,Fox News,Employees at Memphis Waffle House filmed brawling over dirty dishes. https://t.co/bvsD6eZ2A8,Thu Aug 30 07:29:00 +0000 2018,-0.4404,0.0,0.775,0.225
476,Fox News,3 ‘extremist Muslim’ New Mexico compound suspects released after judge drops all charges. https://t.co/Cz1jZW5Qrd,Thu Aug 30 07:00:00 +0000 2018,-0.5423,0.0,0.71,0.29
477,Fox News,Wyoming Highway Patrol officials seize more than $7M worth of marijuana during traffic stop. https://t.co/mn8rFNjPMh,Thu Aug 30 06:45:00 +0000 2018,-0.0094,0.125,0.749,0.127
